timestamp,human_readable_date,humidity,soil,tempf,voltage
1556736889711,2019-05-01 14:54:49-04:00,-5.0,2656.0,-5.0,4.217979
1556736823693,2019-05-01 14:53:43-04:00,-5.0,2672.0,-5.0,4.215734
1556736757635,2019-05-01 14:52:37-04:00,-5.0,2650.0,-5.0,4.210123
1556736691874,2019-05-01 14:51:31-04:00,-5.0,2647.0,-5.0,4.214612
1556736625771,2019-05-01 14:50:25-04:00,-5.0,2660.0,-5.0,4.219101
1556736559724,2019-05-01 14:49:19-04:00,-5.0,2644.0,-5.0,4.210123
1556736493735,2019-05-01 14:48:13-04:00,-5.0,2657.0,-5.0,4.211245
1556736427968,2019-05-01 14:47:07-04:00,-5.0,2656.0,-5.0,4.206755
1556736361898,2019-05-01 14:46:01-04:00,-5.0,2656.0,-5.0,4.210123
1556736295718,2019-05-01 14:44:55-04:00,-5.0,2655.0,-5.0,4.210123
1556736229863,2019-05-01 14:43:49-04:00,-5.0,2653.0,-5.0,4.210123
1556736163711,2019-05-01 14:42:43-04:00,-5.0,2663.0,-5.0,4.212367
1556736097636,2019-05-01 14:41:37-04:00,-5.0,2665.0,-5.0,4.211245
1556736031750,2019-05-01 14:40:31-04:00,-5.0,2654.0,-5.0,4.224714
1556735965622,2019-05-01 14:39:25-04:00,-5.0,2658.0,-5.0,4.216857
1556735899738,2019-05-01 14:38:19-04:00,-5.0,2664.0,-5.0,4.210123
1556735833760,2019-05-01 14:37:13-04:00,-5.0,2662.0,-5.0,4.211245
1556735768037,2019-05-01 14:36:08-04:00,-5.0,2651.0,-5.0,4.209
1556735701604,2019-05-01 14:35:01-04:00,-5.0,2656.0,-5.0,4.224714
1556735635679,2019-05-01 14:33:55-04:00,-5.0,2643.0,-5.0,4.203388
1556735569834,2019-05-01 14:32:49-04:00,-5.0,2669.0,-5.0,4.209
1556735503693,2019-05-01 14:31:43-04:00,-5.0,2653.0,-5.0,4.205633
1556735437628,2019-05-01 14:30:37-04:00,-5.0,2661.0,-5.0,4.217979
1556735372007,2019-05-01 14:29:32-04:00,-5.0,2657.0,-5.0,4.224714
1556735305682,2019-05-01 14:28:25-04:00,-5.0,2647.0,-5.0,4.206755
1556735239678,2019-05-01 14:27:19-04:00,-5.0,2654.0,-5.0,4.205633
1556735173694,2019-05-01 14:26:13-04:00,-5.0,2648.0,-5.0,4.221346
1556735107553,2019-05-01 14:25:07-04:00,-5.0,2656.0,-5.0,4.214612
1556735042038,2019-05-01 14:24:02-04:00,-5.0,2643.0,-5.0,4.201143
1556734975636,2019-05-01 14:22:55-04:00,-5.0,2652.0,-5.0,4.216857
1556734909615,2019-05-01 14:21:49-04:00,-5.0,2647.0,-5.0,4.196653
1556734843627,2019-05-01 14:20:43-04:00,-5.0,2657.0,-5.0,4.216857
1556734777771,2019-05-01 14:19:37-04:00,-5.0,2639.0,-5.0,4.210123
1556734711685,2019-05-01 14:18:31-04:00,-5.0,2655.0,-5.0,4.219101
1556734645606,2019-05-01 14:17:25-04:00,-5.0,2655.0,-5.0,4.206755
1556734579583,2019-05-01 14:16:19-04:00,-5.0,2649.0,-5.0,4.205633
1556734513648,2019-05-01 14:15:13-04:00,-5.0,2653.0,-5.0,4.201143
