observation,soil
559,2591
560,2588
561,2584
562,2602
563,2584
564,2586
565,2588
566,2585
567,2588
568,2573
569,2588
570,2588
571,2590
572,2577
573,2591
574,2591
575,2592
576,2587
577,2583
578,2592
579,2590
580,2576
581,2597
582,2586
583,2584
584,2590
585,2591
586,2583
587,2582
588,2589
589,2595
590,2580
591,2576
592,2596
593,2584
594,2592
595,2593
596,2577
597,2585
598,2582
599,2584
600,2591
601,2578
602,2604
603,2565
604,2570
605,2584
606,2587
607,2574
608,2588
609,2584
610,2588
611,2584
612,2585
613,2591
614,2567
615,2588
616,2582
617,2576
618,2580
619,2580
620,2570
621,2582
622,2585
623,2591
624,2580
625,2580
626,2566
627,2582
628,2577
629,2583
630,2583
631,2576
632,2580
633,2580
634,2569
635,2575
636,2574
637,2580
638,2573
639,2591
640,2584
641,2569
642,2573
643,2576
644,2577
645,2566
646,2577
647,2584
648,2578
649,2583
650,2577
651,2568
652,2576
653,2579
654,2590
655,2580
656,2575
657,2574
658,2577
659,2577
660,2576
661,2583
662,2573
663,2574
664,2565
665,2582
666,2573
667,2580
668,2575
669,2584
670,2573
671,2580
672,2579
673,2575
674,2574
675,2575
676,2567
677,2580
678,2577
679,2568
680,2572
681,2569
682,2567
683,2576
684,2576
685,2572
686,2565
687,2563
688,2576
689,2568
690,2560
691,2586
692,2573
693,2570
694,2551
695,2571
696,2569
697,2559
698,2570
699,2569
700,2571
701,2582
702,2568
703,2576
704,2582
705,2560
706,2568
707,2572
708,2561
709,2561
710,2566
711,2575
712,2573
713,2572
714,2557
715,2566
716,2566
717,2559
718,2560
719,2551
720,2564
721,2586
722,2564
723,2570
724,2566
725,2570
726,2572
727,2569
728,2559
729,2569
730,2569
731,2571
732,2565
733,2568
734,2554
735,2570
736,2557
737,2550
738,2562
739,2569
740,2565
741,2567
742,2575
743,2554
744,2564
745,2552
746,2567
747,2556
748,2560
749,2540
750,2567
751,2557
752,2568
753,2544
754,2557
755,2552
756,2552
757,2550
758,2551
759,2548
760,2560
761,2572
762,2552
763,2555
764,2545
765,2547
766,2555
767,2550
768,2548
769,2541
770,2549
771,2564
772,2568
773,2550
